Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2009-03-09,23.84067549855117,24.9588062666831,23.84067549855117,24.33847427368164,,2628300,63968811.933517456,,,
2009-03-10,25.39533760921165,26.268397606426237,25.357046067860672,25.870159149169922,,2930900,75822849.45030212,,,
2009-03-11,25.97737696141574,26.299032340029957,25.62509010220852,25.847185134887695,,3813300,98563071.07486725,,,
2009-03-12,25.602115375200537,25.900793487042826,25.24216846018171,25.80889320373535,,4564000,117791788.58184814,,,
2009-03-13,25.494898060530318,25.83186771586868,25.28812023062132,25.67104148864746,,1427600,36647978.829193115,,,
2009-03-16,26.383278593180638,26.513470435046713,25.709336275961377,25.770605087280273,,2848200,73399837.40959167,,,
2009-03-17,26.00800459498773,26.590046396641377,25.755278147486596,26.559412002563477,,2542100,67516681.25171661,,,
2009-03-18,26.582392054670382,28.137054291745745,26.452200234022886,27.769447326660156,,2892600,80325903.33709717,,,
2009-03-19,28.94884675419878,29.132650244963774,28.711437442054994,28.88758087158203,,4777800,138019083.88824463,,,
2009-03-20,28.604221695458577,28.73441646460025,27.455457725015133,27.63926124572754,,3645000,100745107.24067688,,,
2009-03-23,28.006862974568918,28.7420711517334,27.60862448157376,28.7420711517334,,2975800,85530655.33332825,,,
2009-03-24,28.527634036946882,28.765046271260896,27.98388654571458,28.12173843383789,,1780600,50073567.45529175,,,
2009-03-25,28.550606738289844,29.0177711188299,27.838372997705367,28.359146118164062,,2214700,62807000.90789795,,,
2009-03-26,28.20598187391814,29.19391652052302,28.0221783806792,28.925872802734375,,1724800,49891345.41015625,,,
2009-03-27,27.172091414711943,27.50140392179587,26.980630790661163,27.049556732177734,,3533400,95576903.7574768,,,
2009-03-30,26.406250626948168,26.613028464876056,26.06928095854205,26.490493774414062,,1869000,49510732.86437988,,,
2009-03-31,26.896386074653634,27.539693850675807,26.743217000085096,27.026580810546875,,1718500,46445179.122924805,,,
2009-04-01,26.689613598235145,27.54735941872446,26.582396101038402,27.363555908203125,,1997500,54658702.92663574,,,
2009-04-02,27.953253151598734,28.772704448627632,27.71584090872347,28.244274139404297,,2462500,69551525.06828308,,,
2009-04-03,27.876668849102266,28.665485708492362,27.86135164815347,28.64251136779785,,2227200,63792601.318359375,,,
2009-04-06,28.236611208490007,28.504657827360372,28.03749345061982,28.435731887817383,,2273600,64651480.0201416,,,
2009-04-07,28.190664855323096,28.389782629619276,27.960909756921627,28.09110450744629,,2485600,69823249.3637085,,,
2009-04-08,28.74972778074087,29.354744049095643,28.565924297667767,29.03308868408203,,1781200,51713737.564086914,,,
2009-04-09,29.62278651440438,29.737664051707583,29.12498774803334,29.5615177154541,,1779700,52610633.078193665,,,
2009-04-13,29.155627654007716,30.074639361631775,28.864606646944264,29.8831787109375,,1189800,35555006.03027344,,,
2009-04-14,29.339428463993045,29.829567217229442,29.301134000212304,29.62278938293457,,1161200,34397983.03146362,,,
2009-04-15,29.370055000887103,30.021022796630863,29.255180393254854,30.02102279663086,,1848400,55490858.53729248,,,
2009-04-16,29.416007830946242,30.633697420259853,29.408350692032275,30.066972732543945,,2217700,66679525.42896271,,,
2009-04-17,29.446644610490264,29.7989314581585,29.20923238456222,29.52322769165039,,1620300,47836485.82878113,,,
2009-04-20,28.97948286265468,29.025434468416073,28.63485312308811,28.71143913269043,,1897000,54465600.034713745,,,
2009-04-21,28.642510673445386,29.41601031313549,28.611876272290434,29.32411003112793,,1626200,47686867.73262024,,,
2009-04-22,29.285818303966966,29.998049136812806,29.201575162055825,29.592153549194336,,1800300,53274754.03461456,,,
2009-04-23,30.63370343388185,30.809846878051754,30.151221786790078,30.809846878051758,,3247700,100061139.7058487,,,
2009-04-24,31.33061988524363,31.859050214634767,31.08555049293549,31.828418731689453,,2481300,78975855.39894104,,,
